,id,corpusName,corpusAcronym,corpusAcronym_comments,corpusLink,corpusLanguage,corpusLanguage_comments,corpusTextCount,"corpusTextCount 
(=Docs in Corpus)_comments",corpusWordCount,"corpusWordCount 
(words in corpus)_comments
[Vera Maria Charvat:
actually: We did not differentiate between words (sometimes not clear if duplicates are included or not) and tokens (all words, including duplicates)]",corpusTimespan,corpusTimespan_comments,corpusFormat/Schema,corpusFormat/Schema_consolidatedVocab,corpusFormat/Schema_comments,corpusAnnotation,corpusAnnotation_consolidatedVocab,corpusLiteraryGenre,corpusLiteraryGenre_consolidatedVocab,corpusLiteraryGenre_comments,corpusType,corpusType_consolidatedVocab,corpusAPI,corpusAPI_comments,corpusLicence,corpusLicence_consolidatedVocab,corpusLicence_comments,corpusReview,additionalLink,additionalLink_comments,additionalInfo / commentary,sourceOfInformation,editor/contributor,descEvent_start,descEvent_end
0,1,Drama Corpora Project,DraCor ,,https://dracor.org/ ,"Alsatian, Bashkir, French, German, Greek, Italian, Roman, Russian, Spanish, Swedish, Tatar",,,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,"Vera Maria Charvat:
Unless otherwise stated, all corpora and the web design
are released under Creative Commons 0 1.0",,https://github.com/dracor-org,,"Commentary: This is the overall-page starting page with links to the individual drama corpora, which are listed in the following lines of this table (Alsatian, Bashkir, Calderón, French, German, German Shakespeare, Greek, Italian, Roman, Russian, Shakespeare, Spanish, Swedish, Tatar); Dracor provides very sophisticated info, a lot of valuable information can be scraped via the API",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
1,2,Alsatian Drama Corpus,AlsDraCor,,https://dracor.org/als,Alsatian,,25,,,,19th and 20th century,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,,,https://github.com/dracor-org/alsdracor,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
2,3,Bashkir Drama Corpus,BashDraCor,,https://dracor.org/bash,Bashkir,,3,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,,,"Vera Maria Charvat:
Works still under copyright published with the permission of the rights holders
",,,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
3,4,Calderón corpus,CalDraCor,,https://dracor.org/cal,Spanish,,201,"Vera Maria Charvat:
proposal: 54, homepage: 201",,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,,,https://github.com/dracor-org/caldracor,,"Proposal: ""Calderón corpus (54 plays)""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
4,5,French Drama Corpus,FreDraCor,,https://dracor.org/fre,French,,1560,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC BY-NC-SA 4.0,cc-by-nc-sa-4-0,,,https://github.com/dracor-org/fredracor,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
5,6,German Drama Corpus,GerDraCor,,https://dracor.org/ger,German,,569,"Vera Maria Charvat:
proposal: 481, homepage: 569",,,1650s–1940s,"Vera Maria Charvat:
proposal: 1730s–1940s; homepage: 1650s to the 1940s",TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0,cc0-1-0,,,https://github.com/dracor-org/gerdracor,,"Proposal: ""German Drama Corpus: 481 German-language plays from 1730s–1940s""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
6,7,German Shakespeare Drama Corpus,GershDraCor,,https://dracor.org/gersh,German,,37,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0,cc0-1-0,,,https://github.com/dracor-org/gershdracor,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
7,8,Greek Drama Corpus,GreekDraCor,,https://dracor.org/greek,Greek,,39,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC BY-SA 3.0 US,cc-by-sa-3-0-us,,,https://github.com/dracor-org/greekdracor,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
8,9,Italian Drama Corpus,ItaDraCor,,https://dracor.org/ita,Italian,,139,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,,,https://github.com/dracor-org/itadracor,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
9,10,Roman Drama Corpus,RomDraCor,,https://dracor.org/rom,Latin,,36,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC BY-SA 3.0 US,cc-by-sa-3-0-us,,,https://github.com/dracor-org/romdracor,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
10,11,Russian Drama Corpus,RusDraCor,,https://dracor.org/rus ,Russian,,212,"Vera Maria Charvat:
proposal: 210, homepage: 212",,,1740s–1940s ,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0,cc0-1-0,,,https://github.com/dracor-org/rusdracor,,"Proposal: ""Russian Drama Corpus: 210 Russian-language plays from 1740s–1940s""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
11,12,Shakespeare Drama Corpus,ShakeDraCor,,https://dracor.org/shake,English,,37,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC BY-NC 3.0,cc-by-nc-3-0,,,https://github.com/dracor-org/shakedracor,,"Homepage: ""derived from the Folger Shakespeare Library""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
12,13,Spanish Drama Corpus,SpanDraCor,,https://dracor.org/span,Spanish,,25,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,,,,,"Homepage: ""Forked from the BETTE corpus (Biblioteca Electrónica Textual del Teatro en Español de 1868–1936).""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
13,2,Swedish Drama Corpus,SweDraCor,,https://dracor.org/swe,Swedish,,68,,,,1880–1900,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,,,https://github.com/dracor-org/swedracor,,"Homepage: ""Derived from the eDrama (https://litteraturbanken.se/dramawebben/sida/edrama) project""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
14,15,Tatar Drama Corpus,TatDraCor,,https://dracor.org/tat,Tatar,,3,,,,,,TEI,tei,,,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),cc0-1-0,,,,,"Homepage: ""provided through Tatar Electronic Library.""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
15,16,Reference corpus Middle High German ,ReM,,https://doi.org/10.34644/laudatio-dev-xCS3CnMB7CArCQ9C3LRB,Diachronic German,"Vera Maria Charvat:
Diachronic German (hochdeutsch, mitteldeutsch, niederdeutsch, oberdeutsch)",396,,,,1050–1350,,"CorA XML, ANNIS","cora_xml, annis","Vera Maria Charvat:
CorA XML (custom), ANNIS (custom linguistic search and visualization tool)","parts of speech, morphology and lemma","pos_tag, morphological_category, lemma","prose, lyric","epic, lyric",,Reference corpus,reference,https://www.laudatio-repository.org/docs/elasticapi/  ,,CC BY-SA 4.0,cc-by-sa-4-0,,,,,"Commentary: The laudatio repository uses a custom XML (CorA XML) and custom linguistic search and visualization tool (ANNIS); the ReM is only one of the corpora provided by the laudatio repository
Homepage: ""The ""Reference Corpus of Middle High German"" (short: ReM) is a corpus of diplomatically transcribed and annotated texts from Middle High German (1050-1350) with a size of around 2 million word forms. It originated from the research projects ""Reference Corpus of Middle High German"" and ""Middle High German grammar"". Texts have been digitized and richly annotated, e.g. with parts of speech, morphology and lemma""","Homepage, personal information from Carolin Odebrecht","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
16,17,Deutsches Textarchiv,DTA,,https://www.deutschestextarchiv.de/,German,,4448,"Vera Maria Charvat:
proposal: 4165, homepage: 4448 (open) / 6482 (all texts, but some restricted access)",,,1500–1900+,,TEI,tei,"Vera Maria Charvat:
TEI P5 XML Subset ""DTA Basisformat""","POS, tokenized, lemmatized","pos_tag, token, lemma",,,"Vera Maria Charvat:
multigenre/various
",Monitor Corpus,monitor,https://www.deutschestextarchiv.de/api ,,CC BY-NC 3.0,cc-by-nc-3-0,,https://ride.i-d-e.de/issues/issue-6/deutsches-textarchiv/ ,,,"Proposal: ""Deutsches Textarchiv, http://www.deutschestextarchiv.de/ (4165 texts, all in TEI)""
Commentary: Multi-genre repositories with TEI-encoded texts; consists of a ""Kernkorpus"" (1468 texts) and additional corpora (5014 texts); metadata available in DC and CMDI; also OAI-PMH; very informative project-website with various features, documentation, download-area, etc. (but only available in German)","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
