,id,corpusName,corpusAcronym,links,used_in_descEvent,link_type_vocab,link_comment
0,1,Drama Corpora Project,DraCor,https://dracor.org/,yes,info website,
1,1,Drama Corpora Project,DraCor,https://dracor.org/doc/api,,api,
2,1,Drama Corpora Project,DraCor,https://github.com/dracor-org,,data repository,
3,2,Alsatian Drama Corpus,AlsDraCor,https://dracor.org/als,yes,info website,
4,2,Alsatian Drama Corpus,AlsDraCor,https://dracor.org/doc/api,,api,
5,2,Alsatian Drama Corpus,AlsDraCor,https://github.com/dracor-org/alsdracor,,data repository,
6,3,Bashkir Drama Corpus,BashDraCor,https://dracor.org/bash,yes,info website,
7,3,Bashkir Drama Corpus,BashDraCor,https://dracor.org/doc/api,,api,
8,4,Calderón corpus,CalDraCor,https://dracor.org/cal,yes,info website,
9,4,Calderón corpus,CalDraCor,https://github.com/dracor-org/caldracor,,data repository,
10,4,Calderón corpus,CalDraCor,https://dracor.org/doc/api,,api,
11,5,French Drama Corpus,FreDraCor,https://dracor.org/fre,yes,info website,
12,5,French Drama Corpus,FreDraCor,https://github.com/dracor-org/fredracor,,data repository,
13,5,French Drama Corpus,FreDraCor,https://dracor.org/doc/api,,api,
14,6,German Drama Corpus,GerDraCor,https://dracor.org/ger,yes,info website,
15,6,German Drama Corpus,GerDraCor,https://github.com/dracor-org/gerdracor,,data repository,
16,6,German Drama Corpus,GerDraCor,https://dracor.org/doc/api,,api,
17,7,German Shakespeare Drama Corpus,GershDraCor,https://dracor.org/gersh,yes,info website,
18,7,German Shakespeare Drama Corpus,GershDraCor,https://github.com/dracor-org/gershdracor,,data repository,
19,7,German Shakespeare Drama Corpus,GershDraCor,https://dracor.org/doc/api,,api,
20,8,Greek Drama Corpus,GreekDraCor,https://dracor.org/greek,yes,info website,
21,8,Greek Drama Corpus,GreekDraCor,https://github.com/dracor-org/greekdracor,,data repository,
22,8,Greek Drama Corpus,GreekDraCor,https://dracor.org/doc/api,,api,
23,9,Italian Drama Corpus,ItaDraCor,https://dracor.org/ita,yes,info website,
24,9,Italian Drama Corpus,ItaDraCor,https://github.com/dracor-org/itadracor,,data repository,
25,9,Italian Drama Corpus,ItaDraCor,https://dracor.org/doc/api,,api,
26,10,Roman Drama Corpus,RomDraCor,https://dracor.org/rom,yes,info website,
27,10,Roman Drama Corpus,RomDraCor,https://github.com/dracor-org/romdracor,,data repository,
28,10,Roman Drama Corpus,RomDraCor,https://dracor.org/doc/api,,api,
29,11,Russian Drama Corpus,RusDraCor,https://dracor.org/rus,yes,info website,
30,11,Russian Drama Corpus,RusDraCor,https://github.com/dracor-org/rusdracor,,data repository,
31,11,Russian Drama Corpus,RusDraCor,https://dracor.org/doc/api,,api,
32,12,Shakespeare Drama Corpus,ShakeDraCor,https://dracor.org/shake,yes,info website,
33,12,Shakespeare Drama Corpus,ShakeDraCor,https://github.com/dracor-org/shakedracor,,data repository,
34,12,Shakespeare Drama Corpus,ShakeDraCor,https://dracor.org/doc/api,,api,
35,13,Spanish Drama Corpus,SpanDraCor,https://dracor.org/span,yes,info website,
36,13,Spanish Drama Corpus,SpanDraCor,https://dracor.org/doc/api,,api,
37,14,Swedish Drama Corpus,SweDraCor,https://dracor.org/swe,yes,info website,
38,14,Swedish Drama Corpus,SweDraCor,https://github.com/dracor-org/swedracor,,data repository,
39,14,Swedish Drama Corpus,SweDraCor,https://dracor.org/doc/api,,api,
40,15,Tatar Drama Corpus,TatDraCor,https://dracor.org/tat,yes,info website,
41,15,Tatar Drama Corpus,TatDraCor,https://dracor.org/doc/api,,api,
42,16,Reference corpus Middle High German,ReM,https://doi.org/10.34644/laudatio-dev-xCS3CnMB7CArCQ9C3LRB,yes,,
43,16,Reference corpus Middle High German,ReM,https://www.laudatio-repository.org/docs/elasticapi/,,api,
44,17,Deutsches Textarchiv,DTA,https://www.deutschestextarchiv.de/,yes,info website,
45,17,Deutsches Textarchiv,DTA,https://www.deutschestextarchiv.de/api,,api,
46,17,Deutsches Textarchiv,DTA,https://ride.i-d-e.de/issues/issue-6/deutsches-textarchiv/,yes,review,
47,18,Folger Shakespeare Library,FolgerShake,https://shakespeare.folger.edu/,yes,,
48,18,Folger Shakespeare Library,FolgerShake,https://shakespeare.folger.edu/the-folger-shakespeare-api/,,api,
49,19,Anemoskala: Corpus of Modern Greek Poetry,Anemoskala,http://www.greek-language.gr/digitalResources/literature/tools/concordance/index.html,yes,,
50,19,Anemoskala: Corpus of Modern Greek Poetry,Anemoskala,https://ride.i-d-e.de/issues/issue-8/anemoskala/,yes,review,
51,20,Wikisource,Wikisource,https://wikisource.org/wiki/Wikisource:TEI,,info website,
52,20,Wikisource,Wikisource,https://ride.i-d-e.de/issues/issue-8/wikisource/,yes,review,
53,21,European Literary Text Collection,ELTeC,https://github.com/COST-ELTeC,yes,data repository,Work on the different ELTeC corpora is in progress here
54,21,European Literary Text Collection,ELTeC,https://distantreading.github.io/ELTeC/,yes,info website,An overview of the current state in ELTeC corpus building can be found here
55,21,European Literary Text Collection,ELTeC,https://distantreading.github.io/,yes,info website,A collection of relevant documentation can be found here
56,21,European Literary Text Collection,ELTeC,https://zenodo.org/communities/eltec/,,,"ELTeC page on Zenodo, with archived releases, one for each corpus"
57,22,1000 Novel Corpus,1000Novel,http://hdl.handle.net/11321/312,yes,,
58,22,1000 Novel Corpus,1000Novel,https://clarin-pl.eu/dspace/handle/11321/312?show=full#,,,Commentary: Download all files
59,23,Annotating Literatures,AnnotLit,https://www.annotating-literature.org/,yes,,
